DEPARTAMENTO,PROVINCIA,ANIO,MES,ALLSKY_SFC_SW_DWN,PRECTOTCORR,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M
AMAZONAS,UTCUBAMBA,2022,11,18.27,0.42,10.15,62.46,19.15,29.6,10.25,2.1
AMAZONAS,UTCUBAMBA,2022,12,17.64,0.47,10.35,66.94,18.14,29.62,9.53,2.02
AMAZONAS,UTCUBAMBA,2023,1,15.5,2.73,10.92,74.37,17.09,27.29,10.94,1.84
AMAZONAS,UTCUBAMBA,2023,2,11.75,1.86,11.75,79.01,17.02,24.69,11.22,1.83
AMAZONAS,UTCUBAMBA,2023,3,14.82,3.48,11.89,81.25,16.65,25.04,10.07,1.68
AMAZONAS,UTCUBAMBA,2023,4,13.91,1.07,11.86,79.83,17.01,25.29,10.67,1.56
AMAZONAS,UTCUBAMBA,2023,5,13.85,0.45,11.87,75.8,18.11,27.97,11.1,1.9
AMAZONAS,UTCUBAMBA,2023,6,13.3,0.04,10.73,72.05,17.56,27.2,8.24,2.3
AMAZONAS,UTCUBAMBA,2023,7,14.38,0.06,10.58,68.38,18.36,27.75,10.54,2.45
AMAZONAS,UTCUBAMBA,2023,8,16.97,0.08,10.33,64.71,19.0,30.48,9.62,2.39
AMAZONAS,UTCUBAMBA,2023,9,17.3,0.15,10.58,62.86,19.73,30.3,11.94,2.48
AMAZONAS,UTCUBAMBA,2023,10,17.75,0.81,11.45,68.12,19.34,29.59,12.04,2.04
AMAZONAS,UTCUBAMBA,2023,11,16.19,0.89,11.63,70.83,18.94,30.22,12.44,2.03
AMAZONAS,UTCUBAMBA,2023,12,13.15,2.27,12.75,78.51,18.43,26.83,13.03,1.93
AMAZONAS,UTCUBAMBA,2024,1,12.55,0.82,12.31,74.69,18.89,28.9,12.12,2.08
AMAZONAS,UTCUBAMBA,2024,2,15.48,1.0,12.05,72.48,19.15,29.54,12.02,2.2
AMAZONAS,UTCUBAMBA,2024,3,14.55,0.46,11.75,69.43,19.5,30.78,12.87,2.04
