fecha_evento,departamento,provincia,produccion_t,precio_chacra_kg
2021-04,CAJAMARCA,CAJABAMBA,5.35,1.27
2021-04,CAJAMARCA,CHOTA,31.0,0.99
2021-04,CAJAMARCA,CUTERVO,4.0,1.0
2021-04,CAJAMARCA,JAEN,37.72,0.82
2021-04,CAJAMARCA,SAN IGNACIO,18.66,0.81
2021-04,CAJAMARCA,SAN MARCOS,4.15,1.75
2021-04,CAJAMARCA,SAN MIGUEL,10.0,2.0
2021-04,CAJAMARCA,SANTA CRUZ,4.0,1.2
2021-04,CUSCO,LA CONVENCION,61.0,1.2
2021-04,HUANCAVELICA,ACOBAMBA,6.6,1.08
2021-04,HUANCAVELICA,ANGARAES,4.75,1.26
2021-04,HUANCAVELICA,CASTROVIRREYNA,0.45,3.0
2021-04,HUANCAVELICA,CHURCAMPA,7.4,1.23
2021-04,HUANCAVELICA,HUAYTARA,2.7,1.5
2021-04,HUANCAVELICA,TAYACAJA,22.5,1.09
2021-04,HUANUCO,HUACAYBAMBA,11.0,3.17
2021-04,HUANUCO,HUAMALIES,19.0,1.1
2021-04,HUANUCO,HUANUCO,6.6,1.0
2021-04,HUANUCO,LEONCIO PRADO,101.0,1.01
2021-04,HUANUCO,MARAÑON,8.0,0.9
2021-04,HUANUCO,PUERTO INCA,2.0,1.85
2021-04,ICA,ICA,237.5,1.4
2021-04,JUNIN,CHANCHAMAYO,201.85,0.74
2021-04,JUNIN,HUANCAYO,13.6,0.9
2021-04,JUNIN,SATIPO,624.7,0.64
2021-04,LA LIBERTAD,ASCOPE,2.4,1.1
2021-04,LA LIBERTAD,BOLIVAR,5.73,1.09
2021-04,LA LIBERTAD,CHEPEN,13.4,1.1
2021-04,LA LIBERTAD,GRAN CHIMU,3.8,0.9
2021-04,LA LIBERTAD,PATAZ,9.879999999999999,0.93
2021-04,LA LIBERTAD,SANCHEZ CARRION,6.12,0.9
2021-04,LA LIBERTAD,VIRU,0.69,1.09
2021-04,LAMBAYEQUE,FERREÑAFE,58.0,0.37
2021-04,LAMBAYEQUE,LAMBAYEQUE,3623.0,0.54
2021-04,LORETO,ALTO AMAZONAS,304.0,0.82
2021-04,LORETO,DATEM DEL MARAÑON,32.0,0.91
2021-04,LORETO,LORETO,59.0,0.95
2021-04,LORETO,MARISCAL RAMON CASTILLA,42.0,0.92
2021-04,LORETO,MAYNAS,571.0,0.83
2021-04,LORETO,PUTUMAYO,13.0,0.91
2021-04,LORETO,REQUENA,44.0,0.83
2021-04,LORETO,UCAYALI,103.0,0.96
2021-04,MADRE DE DIOS,MANU,14.5,1.35
2021-04,MADRE DE DIOS,TAHUAMANU,9.5,1.33
2021-04,MADRE DE DIOS,TAMBOPATA,39.4,1.4
2021-04,MOQUEGUA,GENERAL SANCHEZ CERRO,5.38,2.3
2021-04,PASCO,OXAPAMPA,20.0,2.0
2021-04,PIURA,AYABACA,24.0,0.54
2021-04,PIURA,HUANCABAMBA,10.0,0.8
2021-04,PIURA,MORROPON,1371.0,0.9
2021-04,PIURA,PAITA,6.0,0.8
2021-04,PIURA,PIURA,10043.0,0.93
2021-04,PIURA,SECHURA,5.0,1.0
2021-04,PIURA,SULLANA,4831.0,0.8
2021-04,PUNO,SANDIA,2.0,1.0
2021-04,SAN MARTIN,BELLAVISTA,26.5,1.3
2021-04,SAN MARTIN,EL DORADO,15.0,0.86
2021-04,SAN MARTIN,HUALLAGA,59.0,1.45
2021-04,SAN MARTIN,LAMAS,139.0,1.24
2021-04,SAN MARTIN,MARISCAL CACERES,23.8,1.23
2021-04,SAN MARTIN,MOYOBAMBA,78.0,0.9
2021-04,SAN MARTIN,PICOTA,157.0,1.2
2021-04,SAN MARTIN,RIOJA,34.0,0.5
2021-04,SAN MARTIN,SAN MARTIN,195.5,1.27
2021-04,SAN MARTIN,TOCACHE,15.0,0.73
2021-04,TUMBES,CONTRALMIRANTE VILLAR,165.46,0.88
2021-04,TUMBES,TUMBES,962.0300000000001,1.07
2021-04,TUMBES,ZARUMILLA,6393.25,1.33
2021-04,UCAYALI,ATALAYA,143.6,0.6
2021-04,UCAYALI,CORONEL PORTILLO,844.84,0.6
2021-04,UCAYALI,PADRE ABAD,439.14,0.6
2021-04,UCAYALI,PURUS,35.27,0.72
2021-05,AMAZONAS,BAGUA,34.25,1.42
2021-05,AMAZONAS,CHACHAPOYAS,24.04,1.58
2021-05,AMAZONAS,LUYA,28.82,1.38
2021-05,AMAZONAS,UTCUBAMBA,541.0,0.98
2021-05,ANCASH,CARHUAZ,4.0,2.5
2021-05,ANCASH,CASMA,49.0,1.82
2021-05,ANCASH,HUARMEY,9.0,1.8
2021-05,ANCASH,HUAYLAS,19.0,1.8
2021-05,ANCASH,SANTA,21.0,1.68
2021-05,ANCASH,YUNGAY,8.0,1.8
2021-05,APURIMAC,ABANCAY,25.0,1.1
2021-05,APURIMAC,AYMARAES,1.9,0.68
2021-05,APURIMAC,GRAU,2.0,1.3
2021-05,AYACUCHO,HUAMANGA,5.0,1.56
2021-05,AYACUCHO,HUANTA,30.0,1.86
2021-05,AYACUCHO,LA MAR,28.0,2.39
2021-05,AYACUCHO,LUCANAS,14.0,1.76
2021-05,AYACUCHO,PARINACOCHAS,3.0,1.35
2021-05,AYACUCHO,PAUCAR DEL SARA SARA,10.0,2.25
2021-05,AYACUCHO,SUCRE,9.0,2.5
2021-05,AYACUCHO,VILCAS HUAMAN,18.0,1.54
2021-05,CAJAMARCA,CAJABAMBA,5.4,1.27
2021-05,CAJAMARCA,CHOTA,34.0,0.98
2021-05,CAJAMARCA,CUTERVO,4.0,1.0
2021-05,CAJAMARCA,JAEN,36.54,0.83
2021-05,CAJAMARCA,SAN IGNACIO,25.77,0.9
2021-05,CAJAMARCA,SAN MARCOS,4.13,1.4
2021-05,CAJAMARCA,SAN MIGUEL,15.0,2.0
2021-05,CAJAMARCA,SANTA CRUZ,11.0,1.1
2021-05,CUSCO,LA CONVENCION,52.2,0.7
2021-05,HUANCAVELICA,ACOBAMBA,6.6,1.02
2021-05,HUANCAVELICA,ANGARAES,6.35,1.13
2021-05,HUANCAVELICA,CASTROVIRREYNA,0.4,3.0
2021-05,HUANCAVELICA,CHURCAMPA,12.8,1.0
2021-05,HUANCAVELICA,HUAYTARA,5.0,2.0
2021-05,HUANCAVELICA,TAYACAJA,37.0,1.05
2021-05,HUANUCO,HUACAYBAMBA,5.0,3.25
2021-05,HUANUCO,HUAMALIES,19.4,1.2
2021-05,HUANUCO,HUANUCO,8.9,0.89
2021-05,HUANUCO,LEONCIO PRADO,122.9,1.09
2021-05,HUANUCO,MARAÑON,13.299999999999999,0.91
2021-05,HUANUCO,PUERTO INCA,1.4,1.8
2021-05,ICA,ICA,63.400000000000006,1.4
2021-05,ICA,PISCO,10.0,1.2
2021-05,JUNIN,CHANCHAMAYO,239.15,0.7
2021-05,JUNIN,HUANCAYO,13.6,1.2
2021-05,JUNIN,SATIPO,611.2,0.58
2021-05,LA LIBERTAD,ASCOPE,2.45,1.0
2021-05,LA LIBERTAD,BOLIVAR,4.57,1.02
2021-05,LA LIBERTAD,CHEPEN,13.9,1.1
2021-05,LA LIBERTAD,GRAN CHIMU,2.08,1.04
2021-05,LA LIBERTAD,OTUZCO,0.65,1.0
2021-05,LA LIBERTAD,PATAZ,11.1,0.89
2021-05,LA LIBERTAD,SANCHEZ CARRION,3.44,0.89
2021-05,LA LIBERTAD,VIRU,0.69,1.0
2021-05,LAMBAYEQUE,FERREÑAFE,22.0,0.55
2021-05,LAMBAYEQUE,LAMBAYEQUE,3537.0,0.52
2021-05,LORETO,ALTO AMAZONAS,309.0,0.93
2021-05,LORETO,DATEM DEL MARAÑON,31.0,0.92
2021-05,LORETO,LORETO,61.0,0.92
2021-05,LORETO,MARISCAL RAMON CASTILLA,39.0,0.92
2021-05,LORETO,MAYNAS,521.0,0.94
2021-05,LORETO,PUTUMAYO,15.0,0.91
2021-05,LORETO,REQUENA,47.0,0.82
2021-05,LORETO,UCAYALI,86.0,0.95
2021-05,MADRE DE DIOS,MANU,18.7,1.48
2021-05,MADRE DE DIOS,TAHUAMANU,10.1,1.57
2021-05,MADRE DE DIOS,TAMBOPATA,40.0,1.58
2021-05,MOQUEGUA,MARISCAL NIETO,13.25,1.9
2021-05,PASCO,OXAPAMPA,60.0,2.5
2021-05,PIURA,AYABACA,31.0,0.67
2021-05,PIURA,HUANCABAMBA,10.0,0.75
2021-05,PIURA,MORROPON,1303.0,0.86
2021-05,PIURA,PAITA,4.0,1.0
2021-05,PIURA,PIURA,7901.0,0.94
2021-05,PIURA,SECHURA,7.0,1.0
2021-05,PIURA,SULLANA,5280.0,1.0
2021-05,PUNO,CARABAYA,2.0,0.7
2021-05,PUNO,SANDIA,12.0,0.97
2021-05,SAN MARTIN,BELLAVISTA,29.0,0.98
2021-05,SAN MARTIN,EL DORADO,12.0,0.56
2021-05,SAN MARTIN,HUALLAGA,32.0,2.12
2021-05,SAN MARTIN,LAMAS,104.0,1.06
2021-05,SAN MARTIN,MARISCAL CACERES,31.2,1.21
2021-05,SAN MARTIN,MOYOBAMBA,70.0,1.24
2021-05,SAN MARTIN,PICOTA,157.0,1.25
2021-05,SAN MARTIN,RIOJA,50.0,0.5
2021-05,SAN MARTIN,SAN MARTIN,175.5,1.31
2021-05,SAN MARTIN,TOCACHE,12.0,0.5
2021-05,TUMBES,CONTRALMIRANTE VILLAR,160.41,0.88
2021-05,TUMBES,TUMBES,794.53,0.91
2021-05,TUMBES,ZARUMILLA,5312.0,0.82
2021-05,UCAYALI,ATALAYA,153.43,0.6
