fecha_evento,departamento,provincia,produccion_t,cosecha_ha,precio_chacra_kg
2021-03,JUNIN,SATIPO,180.9,0.0,0.6583333333333333
2021-03,LA LIBERTAD,ASCOPE,2.5,0.0,1.0
2021-03,LA LIBERTAD,BOLIVAR,6.18,0.0,1.0
2021-03,LA LIBERTAD,CHEPEN,14.0,0.0,1.0
2021-03,LA LIBERTAD,GRAN CHIMU,3.03,0.0,1.0
2021-03,LA LIBERTAD,OTUZCO,1.8,0.0,0.9
2021-03,LA LIBERTAD,PATAZ,13.76,0.0,1.0322222222222224
2021-03,LA LIBERTAD,SANCHEZ CARRION,7.9,0.0,1.05
2021-03,LA LIBERTAD,VIRU,0.95,0.0,1.04
2021-03,LAMBAYEQUE,FERREÑAFE,32.0,0.0,0.4
2021-03,LAMBAYEQUE,LAMBAYEQUE,15.0,0.0,0.4
2021-03,LORETO,ALTO AMAZONAS,38.0,0.0,0.795
2021-03,LORETO,DATEM DEL MARAÑON,47.0,0.0,0.9120000000000001
2021-03,LORETO,LORETO,39.0,0.0,0.9575
2021-03,LORETO,MARISCAL RAMON CASTILLA,45.0,0.0,0.9133333333333334
2021-03,LORETO,MAYNAS,193.0,0.0,0.7954545454545454
2021-03,LORETO,PUTUMAYO,11.0,0.0,0.92
2021-03,LORETO,REQUENA,48.0,0.0,0.85
2021-03,LORETO,UCAYALI,51.0,0.0,0.962
2021-03,MADRE DE DIOS,MANU,14.0,0.0,1.525
2021-03,MADRE DE DIOS,TAHUAMANU,10.0,0.0,1.5
2021-03,MADRE DE DIOS,TAMBOPATA,39.0,0.0,1.5
2021-03,MOQUEGUA,GENERAL SANCHEZ CERRO,15.44,0.0,2.1
2021-03,MOQUEGUA,MARISCAL NIETO,13.2,0.0,1.85
2021-03,PIURA,AYABACA,52.0,0.0,0.7000000000000001
2021-03,PIURA,HUANCABAMBA,10.0,0.0,0.8000000000000002
2021-03,PIURA,MORROPON,27.0,0.0,0.8
2021-03,PIURA,PAITA,8.0,0.0,0.8
2021-03,PIURA,PIURA,51.0,0.0,0.8
2021-03,PIURA,SECHURA,5.0,0.0,0.8
2021-03,PIURA,SULLANA,31.0,0.0,1.0
2021-03,SAN MARTIN,BELLAVISTA,22.0,0.0,1.1166666666666667
2021-03,SAN MARTIN,EL DORADO,15.0,0.0,0.9199999999999999
2021-03,SAN MARTIN,HUALLAGA,79.0,0.0,0.9833333333333334
2021-03,SAN MARTIN,LAMAS,85.0,0.0,1.05
2021-03,SAN MARTIN,MARISCAL CACERES,25.5,0.0,1.2383333333333333
2021-03,SAN MARTIN,MOYOBAMBA,47.0,0.0,0.9033333333333333
2021-03,SAN MARTIN,PICOTA,134.0,0.0,1.1888888888888889
2021-03,SAN MARTIN,RIOJA,30.0,0.0,0.5
2021-03,SAN MARTIN,SAN MARTIN,143.0,0.0,1.3461538461538463
2021-03,SAN MARTIN,TOCACHE,32.0,0.0,0.6666666666666666
2021-03,TUMBES,CONTRALMIRANTE VILLAR,15.0,0.0,0.75
2021-03,TUMBES,TUMBES,41.67,0.0,1.0625
2021-03,UCAYALI,ATALAYA,63.65,0.0,0.62
2021-03,UCAYALI,PURUS,31.7,0.0,0.72
2021-04,AMAZONAS,BAGUA,32.7,0.0,1.25
2021-04,AMAZONAS,CHACHAPOYAS,24.04,0.0,1.65
2021-04,AMAZONAS,LUYA,23.45,0.0,1.3916666666666666
2021-04,AMAZONAS,UTCUBAMBA,80.6,0.0,1.0
2021-04,ANCASH,CARHUAZ,4.0,0.0,2.5
2021-04,ANCASH,CASMA,46.0,0.0,1.925
2021-04,ANCASH,HUARMEY,8.0,0.0,1.825
2021-04,ANCASH,HUAYLAS,20.0,0.0,1.9
2021-04,ANCASH,SANTA,20.0,0.0,1.65
2021-04,ANCASH,YUNGAY,8.0,0.0,1.7
2021-04,APURIMAC,ABANCAY,8.0,0.0,0.65
2021-04,APURIMAC,ANDAHUAYLAS,16.0,0.0,1.615
2021-04,APURIMAC,AYMARAES,1.9,0.0,0.8
2021-04,APURIMAC,CHINCHEROS,7.220000000000001,0.0,2.1
2021-04,AYACUCHO,HUAMANGA,5.0,0.0,1.84
2021-04,AYACUCHO,HUANTA,21.0,0.0,1.9600000000000002
2021-04,AYACUCHO,LA MAR,15.0,0.0,1.7
2021-04,AYACUCHO,LUCANAS,14.0,0.0,1.825
2021-04,AYACUCHO,PARINACOCHAS,2.0,0.0,1.4
2021-04,AYACUCHO,SUCRE,10.0,0.0,2.1375
